"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",0
"15",1
"16",0
"17",1
"18",1
"19",0
"20",0
"21",1
"22",1
"23",1
"24",1
"25",0
"26",1
"27",1
"28",1
"29",1
"30",1
"31",0
"32",1
"33",1
"34",1
"35",1
"36",1
"37",0
"38",0
"39",1
"40",1
"41",1
"42",1
"43",0
"44",1
"45",1
"46",1
"47",1
"48",0
"49",1
"50",1
"51",1
"52",0
"53",1
"54",1
"55",1
"56",1
"57",1
"58",0
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",0
"72",1
"73",0
"74",1
"75",0
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",0
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",0
"98",0
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",0
"106",1
"107",1
"108",0
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",0
"116",0
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",0
"127",1
"128",1
"129",0
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",0
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",0
"153",0
"154",1
"155",1
"156",0
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",0
"167",0
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
