"","s0"
"V1",0
"V2",1.25236239223992
"V3",0
"V4",0
"V5",0
"V6",0
"V7",0
"V8",0
"V9",0
"V10",0
"V11",-1.05903736821602
"V12",0
"V13",0
"V14",0
"V15",0
"V16",-0.264301517384543
"V17",0
"V18",0
"V19",0
"V20",0
"V21",0
"V22",0
"V23",0
"V24",-0.154699037219969
"V25",0
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0.0080959768815954
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
"V51",0
"V52",0
"V53",0
"V54",0
"V55",0
"V56",0
"V57",0
"V58",-2.82022262005848
"V59",0
"V60",0
"V61",0
"V62",0
"V63",0
"V64",0
"V65",0
"V66",0
"V67",0
"V68",-1.2771614562184
"V69",0
"V70",0
"V71",0
"V72",0
"V73",-3.37605367888651
"V74",0
"V75",0
"V76",0
"V77",0
"V78",0
"V79",0
"V80",0
"V81",0
"V82",0
"V83",0
"V84",0
"V85",0
"V86",0
"V87",0
"V88",0
"V89",0
"V90",0
"V91",0
"V92",0
"V93",0
"V94",0
"V95",0
"V96",0
"V97",0
"V98",0
"V99",0
"V100",-5.3912906236614
"V101",-4.63209092855101
"V102",5.10631432918482
"V103",0
"V104",0
"V105",0
"V106",0
"V107",0
"V108",0
"V109",0
"V110",0
"V111",0
"V112",0
"V113",-2.62903821649384
"V114",0
"V115",0
"V116",-0.614824533973074
"V117",0
"V118",0
"V119",0
"V120",0
"V121",0
"V122",0
"V123",0
"V124",0
"V125",0
"V126",0
"V127",0
"V128",0
"V129",0
"V130",0
"V131",0
"V132",0
"V133",0
"V134",0
"V135",0
"V136",0
"V137",0
"V138",0
"V139",0
"V140",0
"V141",0
"V142",0
"V143",0
"V144",-3.44846730179818
"V145",0
"V146",0
"V147",0
"V148",0
"V149",-1.56896506759198
"V150",0
"V151",0
"V152",0
"V153",0
"V154",0
