ROI,X,Y,Z,Network,Color,NetworkName,,,,,,,,,,
1,-25,-98,-12,-1,White,Uncertain,,,,,,,,,,
2,27,-97,-13,-1,White,Uncertain,,,,,,,,,,
3,24,32,-18,-1,White,Uncertain,,,,,,,,,,
4,-56,-45,-24,-1,White,Uncertain,,,,,,,,,,
5,8,41,-24,-1,White,Uncertain,,,,,,,,,,
6,-21,-22,-20,-1,White,Uncertain,,,,,,,,,,
7,17,-28,-17,-1,White,Uncertain,,,,,,,,,,
8,-37,-29,-26,-1,White,Uncertain,,,,,,,,,,
9,65,-24,-19,-1,White,Uncertain,,,,,,,,,,
10,52,-34,-27,-1,White,Uncertain,,,,,,,,,,
11,55,-31,-17,-1,White,Uncertain,,,,,,,,,,
12,34,38,-12,-1,White,Uncertain,,,,,,,,,,
13,-7,-52,61,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
14,-14,-18,40,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
15,0,-15,47,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
16,10,-2,45,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
17,-7,-21,65,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
18,-7,-33,72,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
19,13,-33,75,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
20,-54,-23,43,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
21,29,-17,71,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
22,10,-46,73,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
23,-23,-30,72,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
24,-40,-19,54,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
25,29,-39,59,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
26,50,-20,42,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
27,-38,-27,69,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
28,20,-29,60,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
29,44,-8,57,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
30,-29,-43,61,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
31,10,-17,74,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
32,22,-42,69,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
33,-45,-32,47,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
34,-21,-31,61,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
35,-13,-17,75,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
36,42,-20,55,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
37,-38,-15,69,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
38,-16,-46,73,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
39,2,-28,60,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
40,3,-17,58,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
41,38,-17,45,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
42,-49,-11,35,2,Orange,Sensory/somatomotor Mouth,,,,,,,,,,
43,36,-9,14,2,Orange,Sensory/somatomotor Mouth,,,,,,,,,,
44,51,-6,32,2,Orange,Sensory/somatomotor Mouth,,,,,,,,,,
45,-53,-10,24,2,Orange,Sensory/somatomotor Mouth,,,,,,,,,,
46,66,-8,25,2,Orange,Sensory/somatomotor Mouth,,,,,,,,,,
47,-3,2,53,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
48,54,-28,34,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
49,19,-8,64,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
50,-16,-5,71,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
51,-10,-2,42,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
52,37,1,-4,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
53,13,-1,70,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
54,7,8,51,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
55,-45,0,9,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
56,49,8,-1,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
57,-34,3,4,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
58,-51,8,-2,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
59,-5,18,34,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
60,36,10,1,3,Purple,Cingulo-opercular Task Control,,,,,,,,,,
61,32,-26,13,4,Pink,Auditory,,,,,,,,,,
62,65,-33,20,4,Pink,Auditory,,,,,,,,,,
63,58,-16,7,4,Pink,Auditory,,,,,,,,,,
64,-38,-33,17,4,Pink,Auditory,,,,,,,,,,
65,-60,-25,14,4,Pink,Auditory,,,,,,,,,,
66,-49,-26,5,4,Pink,Auditory,,,,,,,,,,
67,43,-23,20,4,Pink,Auditory,,,,,,,,,,
68,-50,-34,26,4,Pink,Auditory,,,,,,,,,,
69,-53,-22,23,4,Pink,Auditory,,,,,,,,,,
70,-55,-9,12,4,Pink,Auditory,,,,,,,,,,
71,56,-5,13,4,Pink,Auditory,,,,,,,,,,
72,59,-17,29,4,Pink,Auditory,,,,,,,,,,
73,-30,-27,12,4,Pink,Auditory,,,,,,,,,,
74,-41,-75,26,5,Red,Default mode,,,,,,,,,,
75,6,67,-4,5,Red,Default mode,,,,,,,,,,
76,8,48,-15,5,Red,Default mode,,,,,,,,,,
77,-13,-40,1,5,Red,Default mode,,,,,,,,,,
78,-18,63,-9,5,Red,Default mode,,,,,,,,,,
79,-46,-61,21,5,Red,Default mode,,,,,,,,,,
80,43,-72,28,5,Red,Default mode,,,,,,,,,,
81,-44,12,-34,5,Red,Default mode,,,,,,,,,,
82,46,16,-30,5,Red,Default mode,,,,,,,,,,
83,-68,-23,-16,5,Red,Default mode,,,,,,,,,,
84,-58,-26,-15,-1,White,Uncertain,,,,,,,,,,
85,27,16,-17,-1,White,Uncertain,,,,,,,,,,
86,-44,-65,35,5,Red,Default mode,,,,,,,,,,
87,-39,-75,44,5,Red,Default mode,,,,,,,,,,
88,-7,-55,27,5,Red,Default mode,,,,,,,,,,
89,6,-59,35,5,Red,Default mode,,,,,,,,,,
90,-11,-56,16,5,Red,Default mode,,,,,,,,,,
91,-3,-49,13,5,Red,Default mode,,,,,,,,,,
92,8,-48,31,5,Red,Default mode,,,,,,,,,,
93,15,-63,26,5,Red,Default mode,,,,,,,,,,
94,-2,-37,44,5,Red,Default mode,,,,,,,,,,
95,11,-54,17,5,Red,Default mode,,,,,,,,,,
96,52,-59,36,5,Red,Default mode,,,,,,,,,,
97,23,33,48,5,Red,Default mode,,,,,,,,,,
98,-10,39,52,5,Red,Default mode,,,,,,,,,,
99,-16,29,53,5,Red,Default mode,,,,,,,,,,
100,-35,20,51,5,Red,Default mode,,,,,,,,,,
101,22,39,39,5,Red,Default mode,,,,,,,,,,
102,13,55,38,5,Red,Default mode,,,,,,,,,,
103,-10,55,39,5,Red,Default mode,,,,,,,,,,
104,-20,45,39,5,Red,Default mode,,,,,,,,,,
105,6,54,16,5,Red,Default mode,,,,,,,,,,
106,6,64,22,5,Red,Default mode,,,,,,,,,,
