"s0","n"
0,0
1.73197822641637,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-2.72593249013786,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.52986333008524,0
0,0
0,0
-3.43652347053974,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-8.00877283678666,0
0,0
0,0
-6.91465392866033,0
0,0
0,0
0,0
0,0
-4.49623536738224,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-2.38831762254441,0
5.70075255877129,0
0,0
0,0
0,0
0,0
0,0
0.962596131348259,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.75163311847002,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-4.77263256879876,0
0,0
0,0
-6.35500128308067,0
0,0
0,0
-1.30448322943277,0
0,0
0,0
0,0
0,0
0.59847014326254,0
3.18601038338137,0
0,0
0,0
0,0
0.53333253032415,0
0,0
4.53522506498583,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.40924147437737,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-3.09857361045531,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.45536953668171,0
0,0
0,0
0,0
0,0
0,0
5.53166631292093,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.906087354112022,0
-4.36337120263154,0
0,0
0,0
0,0
-8.28022387778469,0
0,0
0,0
2.83614891554724,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.86101879925795,0
5.24652779539064,0
0,0
0,0
0,0
2.93908752761234,0
0,0
-2.97718457069895,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.40502137261164,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-4.47932062448259,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-3.32304228550582,0
0,0
0,0
0,0
0,0
0,0
0,0
1.33268889917397,0
0,0
0,0
0,0
0,0
1.80811776770644,0
0,0
-2.37860733438706,0
0,0
0,0
0,0
0,0
-5.39225722092389,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8.30779953305855,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.496370582544195,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-7.40970736070816,0
0,0
0,0
3.40825900043143,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-2.77427707661092,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18.6364051737543,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.788492529212883,0
0,0
0,0
0,0
0,0
0,0
0,0
1.6510525570313,0
0,0
-4.28326489361245,0
0,0
0,0
0,0
-2.07195182654643,0
1.86231586499187,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.89334783919266,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.731848953180405,0
-1.85564240808394,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.659031254900942,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.281105141068041,0
0,0
0,0
0,0
0,0
0,0
0,0
-2.79197768531493,0
0,0
-5.59006064971293,0
0,0
0,0
0,0
0,0
0.0777369298265865,0
0,0
0,0
0,0
3.54016792189282,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6.78741427609699,0
0,0
0,0
0,0
0,0
0,0
0,0
2.35962915243181,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-6.915704155501,0
0,0
0,0
-4.03607257989424,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1.2145742468892,0
0,0
0,0
0,0
0,0
0,0
0,0
4.89166090503272,0
0,0
0,0
0,0
-1.48810028694822,0
0,0
0,0
0,0
-0.634590378941189,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.73197822641637,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-2.72593249013786,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.52986333008524,0
0,0
0,0
-3.43652347053974,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-8.00877283678666,0
0,0
0,0
-6.91465392866033,0
0,0
0,0
0,0
0,0
-4.49623536738224,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-2.38831762254441,0
5.70075255877129,0
0,0
0,0
0,0
0,0
0,0
0.962596131348259,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.75163311847002,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-4.77263256879876,0
0,0
0,0
-6.35500128308067,0
0,0
0,0
-1.30448322943277,0
0,0
0,0
0,0
0,0
0.59847014326254,0
3.18601038338137,0
0,0
0,0
0,0
0.53333253032415,0
0,0
4.53522506498583,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.40924147437737,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-3.09857361045531,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.45536953668171,0
0,0
0,0
0,0
0,0
0,0
5.53166631292093,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
